trip_id;trip_line;destination;destination_id;origin;origin_id;time_departure;arrival;arrival_id;time_arrival;time_travelled
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;La Courneuve - Aubervilliers;IDFM:72598;83250.0;Le Bourget;IDFM:72641;83420.0;170.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Le Bourget;IDFM:72641;83450.0;Drancy;IDFM:72652;83580.0;130.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Drancy;IDFM:72652;83610.0;Le Blanc-Mesnil;IDFM:72648;83710.0;100.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Le Blanc-Mesnil;IDFM:72648;83740.0;Aulnay-sous-Bois;IDFM:72646;83840.0;100.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Aulnay-sous-Bois;IDFM:72646;83890.0;Sevran Beaudottes;IDFM:73491;84050.0;160.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Sevran Beaudottes;IDFM:73491;84080.0;Villepinte;IDFM:73547;84190.0;110.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Villepinte;IDFM:73547;84220.0;Parc des Expositions;IDFM:73568;84310.0;90.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Parc des Expositions;IDFM:73568;84360.0;Aéroport CDG 1 (Terminal 3) - RER;IDFM:73596;84650.0;290.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Aéroport CDG 1 (Terminal 3) - RER;IDFM:73596;84710.0;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;84860.0;150.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Robinson;IDFM:427230;81417.0;Fontenay-aux-Roses;IDFM:70133;81538.0;121.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Fontenay-aux-Roses;IDFM:70133;81568.0;Sceaux;IDFM:74265;81642.0;74.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Sceaux;IDFM:74265;81672.0;Bourg-la-Reine;IDFM:70033;81760.0;88.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Bourg-la-Reine;IDFM:70033;81800.0;Bagneux;IDFM:70210;81925.0;125.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Bagneux;IDFM:70210;81955.0;Arcueil - Cachan;IDFM:70263;82025.0;70.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Arcueil - Cachan;IDFM:70263;82055.0;Laplace;IDFM:70427;82148.0;93.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Laplace;IDFM:70427;82178.0;Gentilly;IDFM:70543;82255.0;77.0
