trip_id,trip_line,trip_headsign,trip_short_name,destination,destination_id,origin,origin_id,time_departure,arrival,arrival_id,time_arrival,time_travelled,direction
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Châtelet les Halles,IDFM:474151,83460.0,Gare du Nord,IDFM:71410,83640.0,180.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gare du Nord,IDFM:71410,83700.0,La Plaine Stade de France,IDFM:72211,83960.0,260.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Plaine Stade de France,IDFM:72211,84010.0,La Courneuve - Aubervilliers,IDFM:72598,84120.0,110.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Courneuve - Aubervilliers,IDFM:72598,84150.0,Le Bourget,IDFM:72641,84320.0,170.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Bourget,IDFM:72641,84350.0,Drancy,IDFM:72652,84480.0,130.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Drancy,IDFM:72652,84510.0,Le Blanc-Mesnil,IDFM:72648,84610.0,100.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Blanc-Mesnil,IDFM:72648,84640.0,Aulnay-sous-Bois,IDFM:72646,84740.0,100.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aulnay-sous-Bois,IDFM:72646,84790.0,Sevran Beaudottes,IDFM:73491,84950.0,160.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Sevran Beaudottes,IDFM:73491,84980.0,Villepinte,IDFM:73547,85090.0,110.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Villepinte,IDFM:73547,85120.0,Parc des Expositions,IDFM:73568,85210.0,90.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Parc des Expositions,IDFM:73568,85260.0,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,85550.0,290.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,85610.0,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,85760.0,150.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Denfert-Rochereau,IDFM:71056,79633.0,Luxembourg,IDFM:71161,79764.0,131.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Luxembourg,IDFM:71161,79797.0,Saint-Michel Notre-Dame,IDFM:73620,79893.0,96.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Saint-Michel Notre-Dame,IDFM:73620,79929.0,Châtelet les Halles,IDFM:474151,80009.0,80.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Châtelet les Halles,IDFM:474151,80040.0,Gare du Nord,IDFM:71410,80220.0,180.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gare du Nord,IDFM:71410,80280.0,La Plaine Stade de France,IDFM:72211,80540.0,260.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Plaine Stade de France,IDFM:72211,80590.0,La Courneuve - Aubervilliers,IDFM:72598,80700.0,110.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Courneuve - Aubervilliers,IDFM:72598,80730.0,Le Bourget,IDFM:72641,80900.0,170.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Bourget,IDFM:72641,80930.0,Drancy,IDFM:72652,81060.0,130.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Drancy,IDFM:72652,81090.0,Le Blanc-Mesnil,IDFM:72648,81190.0,100.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Blanc-Mesnil,IDFM:72648,81220.0,Aulnay-sous-Bois,IDFM:72646,81320.0,100.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aulnay-sous-Bois,IDFM:72646,81370.0,Sevran Beaudottes,IDFM:73491,81530.0,160.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Sevran Beaudottes,IDFM:73491,81560.0,Villepinte,IDFM:73547,81670.0,110.0,1.0
IDFM:TN:SNCF:c1a540a0-cbb0-41bc-95a3-764c5b23fcb5,IDFM:C01743,EAST,EADU93,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Villepinte,IDFM:73547,81700.0,Parc des Expositions,IDFM:73568,81790.0,90.0,1.0
