,trip_id,trip_line,trip_headsign,trip_short_name,destination,destination_id,origin,origin_id,time_departure,arrival,arrival_id,time_arrival,time_travelled,direction
52,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Plaine Stade de France,IDFM:72211,20110.0,La Courneuve - Aubervilliers,IDFM:72598,20220.0,110.0,1.0
53,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Courneuve - Aubervilliers,IDFM:72598,20250.0,Le Bourget,IDFM:72641,20420.0,170.0,1.0
54,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Bourget,IDFM:72641,20450.0,Drancy,IDFM:72652,20580.0,130.0,1.0
55,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Drancy,IDFM:72652,20610.0,Le Blanc-Mesnil,IDFM:72648,20710.0,100.0,1.0
56,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Blanc-Mesnil,IDFM:72648,20740.0,Aulnay-sous-Bois,IDFM:72646,20840.0,100.0,1.0
57,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aulnay-sous-Bois,IDFM:72646,20890.0,Sevran Beaudottes,IDFM:73491,21050.0,160.0,1.0
58,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Sevran Beaudottes,IDFM:73491,21080.0,Villepinte,IDFM:73547,21190.0,110.0,1.0
59,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Villepinte,IDFM:73547,21220.0,Parc des Expositions,IDFM:73568,21310.0,90.0,1.0
60,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Parc des Expositions,IDFM:73568,21360.0,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,21650.0,290.0,1.0
61,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,21710.0,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,21860.0,150.0,1.0
62,IDFM:TN:SNCF:c78a0169-87ef-4d62-abdf-f0be73792da9,IDFM:C01743,ILIC,ILOG23,Mitry - Claye,IDFM:69065,Robinson,IDFM:427230,85047.0,Fontenay-aux-Roses,IDFM:70133,85166.0,119.0,1.0
63,IDFM:TN:SNCF:c78a0169-87ef-4d62-abdf-f0be73792da9,IDFM:C01743,ILIC,ILOG23,Mitry - Claye,IDFM:69065,Fontenay-aux-Roses,IDFM:70133,85186.0,Sceaux,IDFM:74265,85260.0,74.0,1.0
64,IDFM:TN:SNCF:c78a0169-87ef-4d62-abdf-f0be73792da9,IDFM:C01743,ILIC,ILOG23,Mitry - Claye,IDFM:69065,Sceaux,IDFM:74265,85284.0,Bourg-la-Reine,IDFM:70033,85372.0,88.0,1.0
65,IDFM:TN:SNCF:c78a0169-87ef-4d62-abdf-f0be73792da9,IDFM:C01743,ILIC,ILOG23,Mitry - Claye,IDFM:69065,Bourg-la-Reine,IDFM:70033,85404.0,Bagneux,IDFM:70210,85529.0,125.0,1.0
